index,raw_value,sorted_value,exact,mse,bitwidth
1,11183780,11169628,11184812,28497141.12,23
2,11181988,11169676,11184812,28497141.12,23
3,11187052,11174828,11184812,28497141.12,23
4,11181556,11175724,11184812,28497141.12,23
5,11191212,11175724,11184812,28497141.12,23
6,11184748,11176380,11184812,28497141.12,23
7,11180668,11176516,11184812,28497141.12,23
8,11178428,11177028,11184812,28497141.12,23
9,11184108,11177740,11184812,28497141.12,23
10,11191636,11177828,11184812,28497141.12,23
11,11187740,11177828,11184812,28497141.12,23
12,11187124,11178332,11184812,28497141.12,23
13,11175724,11178428,11184812,28497141.12,23
14,11184620,11178756,11184812,28497141.12,23
15,11191868,11179556,11184812,28497141.12,23
16,11194204,11179596,11184812,28497141.12,23
17,11183260,11179756,11184812,28497141.12,23
18,11186572,11179964,11184812,28497141.12,23
19,11185092,11180276,11184812,28497141.12,23
20,11184572,11180636,11184812,28497141.12,23
21,11186972,11180668,11184812,28497141.12,23
22,11189508,11181196,11184812,28497141.12,23
23,11184548,11181196,11184812,28497141.12,23
24,11182804,11181556,11184812,28497141.12,23
25,11178756,11181988,11184812,28497141.12,23
26,11184724,11182164,11184812,28497141.12,23
27,11183364,11182276,11184812,28497141.12,23
28,11177740,11182772,11184812,28497141.12,23
29,11183980,11182804,11184812,28497141.12,23
30,11191388,11182940,11184812,28497141.12,23
31,11188580,11183260,11184812,28497141.12,23
32,11185116,11183364,11184812,28497141.12,23
33,11183676,11183460,11184812,28497141.12,23
34,11185100,11183676,11184812,28497141.12,23
35,11181196,11183780,11184812,28497141.12,23
36,11183812,11183812,11184812,28497141.12,23
37,11191452,11183812,11184812,28497141.12,23
38,11179964,11183980,11184812,28497141.12,23
39,11187348,11184108,11184812,28497141.12,23
40,11192964,11184548,11184812,28497141.12,23
41,11191596,11184572,11184812,28497141.12,23
42,11176516,11184612,11184812,28497141.12,23
43,11177828,11184612,11184812,28497141.12,23
44,11187332,11184620,11184812,28497141.12,23
45,11174828,11184724,11184812,28497141.12,23
46,11188284,11184748,11184812,28497141.12,23
47,11185236,11184796,11184812,28497141.12,23
48,11182164,11185092,11184812,28497141.12,23
49,11184612,11185100,11184812,28497141.12,23
50,11188444,11185116,11184812,28497141.12,23
51,11182276,11185156,11184812,28497141.12,23
52,11169628,11185236,11184812,28497141.12,23
53,11187852,11185404,11184812,28497141.12,23
54,11186636,11185956,11184812,28497141.12,23
55,11189684,11186124,11184812,28497141.12,23
56,11191468,11186436,11184812,28497141.12,23
57,11188516,11186444,11184812,28497141.12,23
58,11181196,11186468,11184812,28497141.12,23
59,11185156,11186572,11184812,28497141.12,23
60,11188596,11186636,11184812,28497141.12,23
61,11187444,11186908,11184812,28497141.12,23
62,11185956,11186972,11184812,28497141.12,23
63,11179756,11187004,11184812,28497141.12,23
64,11187708,11187052,11184812,28497141.12,23
65,11184612,11187124,11184812,28497141.12,23
66,11177828,11187332,11184812,28497141.12,23
67,11186436,11187348,11184812,28497141.12,23
68,11192540,11187356,11184812,28497141.12,23
69,11189788,11187444,11184812,28497141.12,23
70,11179556,11187708,11184812,28497141.12,23
71,11186444,11187740,11184812,28497141.12,23
72,11186124,11187852,11184812,28497141.12,23
73,11169676,11188284,11184812,28497141.12,23
74,11188740,11188444,11184812,28497141.12,23
75,11182772,11188516,11184812,28497141.12,23
76,11186468,11188524,11184812,28497141.12,23
77,11183812,11188580,11184812,28497141.12,23
78,11195628,11188580,11184812,28497141.12,23
79,11188580,11188596,11184812,28497141.12,23
80,11200132,11188740,11184812,28497141.12,23
81,11187356,11189388,11184812,28497141.12,23
82,11183460,11189436,11184812,28497141.12,23
83,11189436,11189508,11184812,28497141.12,23
84,11177028,11189684,11184812,28497141.12,23
85,11180636,11189788,11184812,28497141.12,23
86,11189388,11190044,11184812,28497141.12,23
87,11193724,11191212,11184812,28497141.12,23
88,11180276,11191388,11184812,28497141.12,23
89,11184796,11191452,11184812,28497141.12,23
90,11178332,11191468,11184812,28497141.12,23
91,11186908,11191596,11184812,28497141.12,23
92,11190044,11191636,11184812,28497141.12,23
93,11179596,11191868,11184812,28497141.12,23
94,11176380,11192540,11184812,28497141.12,23
95,11182940,11192964,11184812,28497141.12,23
96,11185404,11193724,11184812,28497141.12,23
97,11187004,11194204,11184812,28497141.12,23
98,11195300,11195300,11184812,28497141.12,23
99,11175724,11195628,11184812,28497141.12,23
100,11188524,11200132,11184812,28497141.12,23
