index,raw_value,sorted_value,exact,mse,count_sketch_ms,exact_f2_ms,counter_bitwidth
1,11253428,9157500,11184812,794832643297.28,858059.0123,14386.4247,8
2,11947364,9318332,11184812,794832643297.28,858059.0123,14386.4247,8
3,10712932,9404044,11184812,794832643297.28,858059.0123,14386.4247,8
4,11570460,9622420,11184812,794832643297.28,858059.0123,14386.4247,8
5,11074140,9651300,11184812,794832643297.28,858059.0123,14386.4247,8
6,11794668,9663308,11184812,794832643297.28,858059.0123,14386.4247,8
7,11441964,9697580,11184812,794832643297.28,858059.0123,14386.4247,8
8,11948364,9777188,11184812,794832643297.28,858059.0123,14386.4247,8
9,11384796,9977348,11184812,794832643297.28,858059.0123,14386.4247,8
10,11237228,9986572,11184812,794832643297.28,858059.0123,14386.4247,8
11,11465428,10091100,11184812,794832643297.28,858059.0123,14386.4247,8
12,12821044,10220892,11184812,794832643297.28,858059.0123,14386.4247,8
13,12284708,10241884,11184812,794832643297.28,858059.0123,14386.4247,8
14,9663308,10247836,11184812,794832643297.28,858059.0123,14386.4247,8
15,10353676,10293676,11184812,794832643297.28,858059.0123,14386.4247,8
16,11520396,10353676,11184812,794832643297.28,858059.0123,14386.4247,8
17,10385196,10368428,11184812,794832643297.28,858059.0123,14386.4247,8
18,9977348,10385196,11184812,794832643297.28,858059.0123,14386.4247,8
19,11975028,10441092,11184812,794832643297.28,858059.0123,14386.4247,8
20,9777188,10477900,11184812,794832643297.28,858059.0123,14386.4247,8
21,12262036,10480660,11184812,794832643297.28,858059.0123,14386.4247,8
22,9318332,10508468,11184812,794832643297.28,858059.0123,14386.4247,8
23,10977884,10525668,11184812,794832643297.28,858059.0123,14386.4247,8
24,10963324,10530492,11184812,794832643297.28,858059.0123,14386.4247,8
25,11987460,10548380,11184812,794832643297.28,858059.0123,14386.4247,8
26,11934060,10553308,11184812,794832643297.28,858059.0123,14386.4247,8
27,10678524,10614188,11184812,794832643297.28,858059.0123,14386.4247,8
28,11908700,10632348,11184812,794832643297.28,858059.0123,14386.4247,8
29,10815980,10657516,11184812,794832643297.28,858059.0123,14386.4247,8
30,10480660,10658660,11184812,794832643297.28,858059.0123,14386.4247,8
31,11925620,10678524,11184812,794832643297.28,858059.0123,14386.4247,8
32,12584532,10712932,11184812,794832643297.28,858059.0123,14386.4247,8
33,11767372,10757132,11184812,794832643297.28,858059.0123,14386.4247,8
34,10657516,10776116,11184812,794832643297.28,858059.0123,14386.4247,8
